Date, TemperatureHigh, TemperatureLow, DewPoint, Humidity, Pressure, PrecipitationIntensity, PrecipitationType, NextDayPrecipitationType
2018-07-15, 84.66, 65.66, 66.85, 0.83, 1015.54, 0.0004, rain, rain
2018-07-14, 77.62, 64.68, 58.81, 0.72, 1020.77, 0.0031, rain, rain
2018-07-13, 83.19, 58.23, 56.24, 0.61, 1023.78, 0, none, rain
2018-07-12, 80.72, 59.89, 50.83, 0.56, 1022.19, 0, none, none
2018-07-11, 79.55, 54.75, 58.92, 0.64, 1015.32, 0, none, none
2018-07-10, 91.52, 67.07, 61.78, 0.61, 1012.48, 0, none, none
2018-07-09, 89.34, 63.68, 58.71, 0.59, 1020.34, 0, none, none
2018-07-08, 84.09, 61, 54.03, 0.61, 1026.85, 0, none, none
2018-07-07, 79.04, 53.79, 47.63, 0.53, 1026.03, 0, none, none
2018-07-06, 83.66, 52.01, 67.15, 0.72, 1015.51, 0.0043, rain, none
2018-07-05, 92.14, 77.92, 71.08, 0.72, 1023.31, 0, none, rain
2018-07-04, 92.51, 69.55, 65.65, 0.64, 1025.86, 0, none, none
2018-07-03, 94.41, 68.49, 73.08, 0.73, 1020.86, 0, none, none
2018-07-02, 89.44, 72.29, 70.31, 0.75, 1019.05, 0, none, none
2018-07-01, 94.7, 68.87, 70.61, 0.7, 1016.21, 0, none, none
2018-06-30, 90.18, 71.54, 65.62, 0.66, 1016.18, 0.0001, rain, none
2018-06-29, 87.95, 65.89, 65.99, 0.74, 1012.47, 0.0004, rain, rain
2018-06-28, 74.94, 65.06, 67.86, 0.95, 1010.77, 0.0467, rain, rain
2018-06-27, 76.26, 62.3, 57.17, 0.69, 1018.45, 0.0013, rain, rain
2018-06-26, 78.93, 59.04, 46.01, 0.57, 1023.04, 0, none, rain
2018-06-25, 74.55, 47.77, 54.95, 0.69, 1014.58, 0.0214, rain, none
2018-06-24, 78.03, 62.79, 60.99, 0.87, 1009.85, 0.0085, rain, rain
2018-06-23, 64.18, 55.66, 53.18, 0.81, 1014.99, 0.0011, rain, rain
2018-06-22, 77.01, 56.55, 50.21, 0.59, 1017.12, 0, none, rain
2018-06-21, 78.66, 50.98, 55.84, 0.66, 1009.27, 0, none, none
2018-06-20, 79.18, 56.37, 52.12, 0.61, 1011.03, 0, none, none
2018-06-19, 79.14, 52.4, 57.77, 0.61, 1007.88, 0.0002, rain, none
2018-06-18, 91.62, 70.47, 64.75, 0.71, 1011.47, 0.014, rain, rain
2018-06-17, 87.46, 61.74, 52.65, 0.58, 1018, 0, none, rain
2018-06-16, 81.97, 54.55, 51.21, 0.61, 1015.15, 0, none, none
2018-06-15, 70.19, 50.93, 53.37, 0.76, 1013.06, 0.0003, rain, none
2018-06-14, 74.84, 56.11, 55.78, 0.63, 1005.24, 0, none, rain
2018-06-13, 77.09, 65.71, 57.3, 0.69, 1011.69, 0.0003, rain, none
2018-06-12, 80.39, 57.25, 47.1, 0.51, 1019.52, 0, none, rain
2018-06-11, 70.35, 51.03, 45.75, 0.59, 1019.12, 0, none, none
2018-06-10, 76.62, 52.9, 43.23, 0.51, 1017.85, 0, none, none
2018-06-09, 78.96, 49.77, 49.69, 0.58, 1019.11, 0, none, none
2018-06-08, 78.02, 52.84, 54.06, 0.65, 1019.84, 0, none, none
2018-06-07, 71.41, 54.52, 53.49, 0.73, 1018.88, 0, none, none
2018-06-06, 67.95, 52.54, 51.24, 0.77, 1011.09, 0, none, none
2018-06-05, 63.02, 51.69, 50.85, 0.87, 1005.46, 0.0019, rain, none
2018-06-04, 53.11, 48.36, 48.38, 0.92, 1011.75, 0.0134, rain, rain
2018-06-03, 66.05, 48.37, 45.07, 0.63, 1018.49, 0, none, rain
2018-06-02, 83.24, 52.16, 65.59, 0.75, 1008.38, 0, none, none
2018-06-01, 80.48, 68.09, 67.57, 0.82, 1010.08, 0.0001, rain, none
2018-05-31, 84.54, 68.14, 53.97, 0.64, 1017.67, 0, none, rain
2018-05-30, 77.59, 50.97, 49.93, 0.59, 1021.37, 0, none, none
2018-05-29, 86.76, 56.33, 56.61, 0.67, 1015.42, 0, none, none
2018-05-28, 63.06, 55, 51.39, 0.89, 1019.2, 0.0009, rain, none
